typeID,groupID,typeName,volume,iconID
"0","0","#System","0E-10","None"
"2","2","Corporation","0E-10","None"
"3","3","Region","1.0000000000","None"
"4","4","Constellation","1.0000000000","None"
"5","5","Solar System","1.0000000000","None"
"6","6","Sun G5 (Yellow)","1.0000000000","None"
"7","6","Sun K7 (Orange)","1.0000000000","None"
"8","6","Sun K5 (Red Giant)","1.0000000000","None"
"9","6","Sun B0 (Blue)","1.0000000000","None"
"10","6","Sun F0 (White)","1.0000000000","None"
"11","7","Planet (Temperate)","1.0000000000","10136"
"12","7","Planet (Ice)","1.0000000000","10137"
"13","7","Planet (Gas)","1.0000000000","10139"
"14","8","Moon","1.0000000000","10141"
"15","9","Asteroid Belt","1.0000000000","15"
"16","10","Stargate (Caldari System)","10000000.0000000000","None"
"17","10","Stargate (Amarr Constellation)","100000000.0000000000","None"
"18","458","Plagioclase","0.3500000000","230"
"19","461","Spodumain","16.0000000000","1274"
"20","457","Kernite","1.2000000000","1270"
"21","454","Hedbergite","3.0000000000","1269"
"22","450","Arkonor","16.0000000000","1277"
"23","12","Cargo Container","55000.0000000000","16"
"24","13","Ring","1.0000000000","0"
"25","14","Corpse Male","2.0000000000","398"
"26","16","Office Folder","1.0000000000","None"
"27","16","Office","1.0000000000","None"
"28","16","Factory Folder","1.0000000000","None"
"29","17","Credits","0E-10","21"
"30","19","Faction","0E-10","None"
"34","18","Tritanium","0.0100000000","22"
"35","18","Pyerite","0.0100000000","400"
"36","18","Mexallon","0.0100000000","401"
"37","18","Isogen","0.0100000000","402"
"38","18","Nocxium","0.0100000000","1201"
"39","18","Zydrine","0.0100000000","404"
"40","18","Megacyte","0.0100000000","405"
"41","280","Garbage","0.2500000000","1179"
"42","280","Spiced Wine","0.5000000000","27"
"43","280","Antibiotics","0.2000000000","28"
"44","1034","Enriched Uranium","0.7500000000","29"
"45","281","Frozen Plant Seeds","0.5000000000","1200"
"49","24","Player Kill","0E-10","None"
"50","24","Company Shares","0E-10","2243"
"51","24","Bookmark","0E-10","1700"
"52","94","Trading","0E-10","None"
"53","95","Trade Session","0E-10","None"
"54","15","Caldari Logistics Station","1.0000000000","None"
"56","15","Gallente Military Station","1.0000000000","None"
"57","15","Gallente Station Hub","1.0000000000","None"
"58","15","C-O-1","1.0000000000","None"
"59","15","C-O-2","1.0000000000","None"
"60","1319","Asset Safety Wrap","1.0000000000","16"
"164","23","Clone Grade Alpha","1.0000000000","34"
"165","23","Clone Grade Beta","1.0000000000","34"
"166","23","Clone Grade Gamma","1.0000000000","34"
"178","83","Carbonized Lead S","0.0025000000","1004"
"179","83","Nuclear S","0.0025000000","1288"
"180","83","Proton S","0.0025000000","1290"
"181","83","Depleted Uranium S","0.0025000000","1285"
"182","83","Titanium Sabot S","0.0025000000","1291"
"183","83","Fusion S","0.0025000000","1287"
"184","83","Phased Plasma S","0.0025000000","1289"
"185","83","EMP S","0.0025000000","1286"
"186","83","Carbonized Lead M","0.0125000000","1292"
"187","83","Nuclear M","0.0125000000","1296"
"188","83","Proton M","0.0125000000","1298"
"189","83","Depleted Uranium M","0.0125000000","1293"
"190","83","Titanium Sabot M","0.0125000000","1299"
"191","83","Fusion M","0.0125000000","1295"
"192","83","Phased Plasma M","0.0125000000","1297"
"193","83","EMP M","0.0125000000","1294"
"194","83","Carbonized Lead L","0.0250000000","1300"
"195","83","Nuclear L","0.0250000000","1304"
"196","83","Proton L","0.0250000000","1306"
"197","83","Depleted Uranium L","0.0250000000","1301"
"198","83","Titanium Sabot L","0.0250000000","1307"
"199","83","Fusion L","0.0250000000","1303"
"200","83","Phased Plasma L","0.0250000000","1305"
"201","83","EMP L","0.0250000000","1302"
"202","386","Mjolnir Cruise Missile","0.0500000000","182"
"203","386","Scourge Cruise Missile","0.0500000000","183"
"204","386","Inferno Cruise Missile","0.0500000000","184"
"205","386","Nova Cruise Missile","0.0500000000","185"
"206","385","Nova Heavy Missile","0.0300000000","186"
"207","385","Mjolnir Heavy Missile","0.0300000000","187"
"208","385","Inferno Heavy Missile","0.0300000000","188"
"209","385","Scourge Heavy Missile","0.0300000000","189"
"210","384","Scourge Light Missile","0.0150000000","190"
"211","384","Inferno Light Missile","0.0150000000","191"
"212","384","Mjolnir Light Missile","0.0150000000","192"
"213","384","Nova Light Missile","0.0150000000","193"
"215","85","Iron Charge S","0.0025000000","1311"
"216","85","Tungsten Charge S","0.0025000000","1315"
"217","85","Iridium Charge S","0.0025000000","1310"
"218","85","Lead Charge S","0.0025000000","1312"
"219","85","Thorium Charge S","0.0025000000","1314"
"220","85","Uranium Charge S","0.0025000000","1316"
"221","85","Plutonium Charge S","0.0025000000","1313"
"222","85","Antimatter Charge S","0.0025000000","1047"
"223","85","Iron Charge M","0.0125000000","1319"
"224","85","Tungsten Charge M","0.0125000000","1323"
"225","85","Iridium Charge M","0.0125000000","1318"
"226","85","Lead Charge M","0.0125000000","1320"
"227","85","Thorium Charge M","0.0125000000","1322"
"228","85","Uranium Charge M","0.0125000000","1324"
"229","85","Plutonium Charge M","0.0125000000","1321"
"230","85","Antimatter Charge M","0.0125000000","1317"
"231","85","Iron Charge L","0.0250000000","1327"
"232","85","Tungsten Charge L","0.0250000000","1331"
"233","85","Iridium Charge L","0.0250000000","1326"
"234","85","Lead Charge L","0.0250000000","1328"
"235","85","Thorium Charge L","0.0250000000","1330"
"236","85","Uranium Charge L","0.0250000000","1332"
"237","85","Plutonium Charge L","0.0250000000","1329"
"238","85","Antimatter Charge L","0.0250000000","1325"
"239","86","Radio S","1.0000000000","1145"
"240","86","Microwave S","1.0000000000","1143"
"241","86","Infrared S","1.0000000000","1144"
"242","86","Standard S","1.0000000000","1142"
"243","86","Ultraviolet S","1.0000000000","1141"
"244","86","Xray S","1.0000000000","1140"
"245","86","Gamma S","1.0000000000","1139"
"246","86","Multifrequency S","1.0000000000","1131"
"247","86","Radio M","1.0000000000","1145"
"248","86","Microwave M","1.0000000000","1143"
"249","86","Infrared M","1.0000000000","1144"
"250","86","Standard M","1.0000000000","1142"
"251","86","Ultraviolet M","1.0000000000","1141"
"252","86","Xray M","1.0000000000","1140"
"253","86","Gamma M","1.0000000000","1139"
"254","86","Multifrequency M","1.0000000000","1131"
"255","86","Radio L","1.0000000000","1145"
"256","86","Microwave L","1.0000000000","1143"
"257","86","Infrared L","1.0000000000","1144"
"258","86","Standard L","1.0000000000","1142"
"259","86","Ultraviolet L","1.0000000000","1141"
"260","86","Xray L","1.0000000000","1140"
"261","86","Gamma L","1.0000000000","1139"
"262","86","Multifrequency L","1.0000000000","1131"
"263","87","Cap Booster 25","1.0000000000","1033"
"264","87","Cap Booster 50","2.0000000000","1033"
"265","1158","Heavy Defender Missile I","0.0300000000","187"
"266","387","Scourge Rocket","0.0050000000","1350"
